PlantID,PlantName,AccessionID,AccessionName,ExperimentID,ExperimentName,ExperimentCondition,GrowthLocation,TrayPosition,SampleID,SampleName,SampleType,PlateName,PlateCoordinate,NameInWell,TubeBarcode,Notes
P35154,LB-J2-5,A25154,LB-J2-5,none,none,nature,wild,none,S45154,J2-5,leaf,Emelliodora_LB_Block2,B8,J2-5,none,
P35155,LB-J2-6,A25155,LB-J2-6,none,none,nature,wild,none,S45155,J2-6,leaf,Emelliodora_LB_Block2,C8,J2-6,none,
P35156,LB-J2-7,A25156,LB-J2-7,none,none,nature,wild,none,S45156,J2-7,leaf,Emelliodora_LB_Block2,D8,J2-7,none,
P35157,LB-J2-8,A25157,LB-J2-8,none,none,nature,wild,none,S45157,J2-8,leaf,Emelliodora_LB_Block2,E8,J2-8,none,
P35158,LB-J2-9,A25158,LB-J2-9,none,none,nature,wild,none,S45158,J2-9,leaf,Emelliodora_LB_Block2,F8,J2-9,none,
P35159,LB-J2-10,A25159,LB-J2-10,none,none,nature,wild,none,S45159,J2-10,leaf,Emelliodora_LB_Block2,G8,J2-10,none,
P35160,LB-17-1,A25160,LB-17-1,none,none,nature,wild,none,S45160,17-1,leaf,Emelliodora_LB_Block2,H8,site17-1,none,
P35161,LB-17-2,A25161,LB-17-2,none,none,nature,wild,none,S45161,17-2,leaf,Emelliodora_LB_Block2,A9,site17-2,none,
P35162,LB-17-3,A25162,LB-17-3,none,none,nature,wild,none,S45162,17-3,leaf,Emelliodora_LB_Block2,B9,site17-3,none,
P35163,LB-17-4,A25163,LB-17-4,none,none,nature,wild,none,S45163,17-4,leaf,Emelliodora_LB_Block2,C9,site17-4,none,
P35164,LB-17-5,A25164,LB-17-5,none,none,nature,wild,none,S45164,17-5,leaf,Emelliodora_LB_Block2,D9,site17-5,none,
P35165,LB-17-6,A25165,LB-17-6,none,none,nature,wild,none,S45165,17-6,leaf,Emelliodora_LB_Block2,E9,site17-6,none,
P35166,LB-17-7,A25166,LB-17-7,none,none,nature,wild,none,S45166,17-7,leaf,Emelliodora_LB_Block2,F9,site17-7,none,
P35167,LB-17-8,A25167,LB-17-8,none,none,nature,wild,none,S45167,17-8,leaf,Emelliodora_LB_Block2,G9,site17-8,none,
P35168,LB-17-9,A25168,LB-17-9,none,none,nature,wild,none,S45168,17-9,leaf,Emelliodora_LB_Block2,H9,site17-9,none,
P35169,LB-17-10,A25169,LB-17-10,none,none,nature,wild,none,S45169,17-10,leaf,Emelliodora_LB_Block2,A10,site17-10,none,
P35170,LB-11-1,A25170,LB-11-1,none,none,nature,wild,none,S45170,11-1,leaf,Emelliodora_LB_Block2,B10,site11-1,none,
P35171,LB-11-2,A25171,LB-11-2,none,none,nature,wild,none,S45171,11-2,leaf,Emelliodora_LB_Block2,C10,site11-2,none,
P35172,LB-11-3,A25172,LB-11-3,none,none,nature,wild,none,S45172,11-3,leaf,Emelliodora_LB_Block2,D10,site11-3,none,
P35173,LB-11-4,A25173,LB-11-4,none,none,nature,wild,none,S45173,11-4,leaf,Emelliodora_LB_Block2,E10,site11-4,none,
P35174,LB-11-5,A25174,LB-11-5,none,none,nature,wild,none,S45174,11-5,leaf,Emelliodora_LB_Block2,F10,site11-5,none,
P35175,LB-11-6,A25175,LB-11-6,none,none,nature,wild,none,S45175,11-6,leaf,Emelliodora_LB_Block2,G10,site11-6,none,
P35176,LB-11-7,A25176,LB-11-7,none,none,nature,wild,none,S45176,11-7,leaf,Emelliodora_LB_Block2,H10,site11-7,none,
