AccessionID,AccessionName,HasSeed,Project,PopulationName,NumberOfMaternalLines,DateCollected,Latitude,Longitude,Altitude,StorageLocation,Source,ExternalID,Notes,FatherAccessionID,MotherAccessionID,SeedRemaining,SeedlingLocation
A20273,S10T13,?,E.marginata,S10,1,2014,-34.73526,116.70384,?,?,JB/RM,none,,unknown,unknown,?,?
A20274,LT100,?,E.marginata,T5,1,2014,-34.9427,116.72199,?,?,JB/RM,none,,unknown,unknown,?,?
A20275,S1T7,?,E.marginata,S1,1,2014,-32.34357,116.08369,?,?,JB/RM,none,,unknown,unknown,?,?
A20276,S2T15,?,E.marginata,S2,1,2014,-32.38791,116.31537,?,?,JB/RM,none,,unknown,unknown,?,?
A20277,S7T11,?,E.marginata,S7,1,2014,-33.23119,116.57726,?,?,JB/RM,none,,unknown,unknown,?,?
A20278,S4T8,?,E.marginata,S4,1,2014,-32.80717,116.2212,?,?,JB/RM,none,,unknown,unknown,?,?
A20279,LT47,?,E.marginata,T2,1,2014,-32.8273,115.68937,?,?,JB/RM,none,,unknown,unknown,?,?
A20280,S5T2,?,E.marginata,S5,1,2014,-32.74343,116.0817,?,?,JB/RM,none,,unknown,unknown,?,?
A20281,S1T15,?,E.marginata,S1,1,2014,-32.3494,116.09416,?,?,JB/RM,none,,unknown,unknown,?,?
A20282,JS1,?,E.marginata,o,1,2014,-34.07252,116.59293,?,?,JB/RM,none,,unknown,unknown,?,?
A20283,M2,?,E.marginata,o,1,2014,-34.06768,116.28873,?,?,JB/RM,none,,unknown,unknown,?,?
A20284,BB1,?,E.marginata,o,1,2014,-32.80483,116.22238,?,?,JB/RM,none,,unknown,unknown,?,?
